Iteration	Posterior	Likelihood	Prior	d	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	obsNodes[11]	obsNodes[12]	obsNodes[13]	obsNodes[14]	obsNodes[15]	obsNodes[16]	obsNodes[17]	obsNodes[18]	obsNodes[19]	obsNodes[20]	s
4600	-10484.5	-10477.6	-6.96754	1.673038	0.7385785	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	1.868725
4700	-10484.7	-10477.6	-7.10319	1.673038	0.7813192	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.240581
4800	-10484.7	-10477.6	-7.10193	1.673038	0.9678063	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.312093
4900	-10484.7	-10477.6	-7.15858	1.673038	1.078158	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.491317
5000	-10484.8	-10477.6	-7.25481	1.673038	0.9887799	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.735373
5100	-10484.7	-10477.6	-7.17236	1.673038	1.306648	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.572714
5200	-10484.7	-10477.6	-7.11771	1.673038	1.092052	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.389014
5300	-10484.6	-10477.6	-7.01711	1.673038	1.081056	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.141833
5400	-10484.7	-10477.6	-7.18258	1.673038	0.9981857	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.53417
5500	-10484.9	-10477.6	-7.32913	1.673038	0.7504668	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.888903
5600	-10485	-10477.6	-7.47095	1.673038	0.3162676	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.202555
5700	-10485	-10477.6	-7.40248	1.673038	0.07647573	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.771115
