Iteration	Posterior	Likelihood	Prior	d	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	obsNodes[11]	obsNodes[12]	obsNodes[13]	obsNodes[14]	obsNodes[15]	obsNodes[16]	obsNodes[17]	obsNodes[18]	obsNodes[19]	obsNodes[20]	s
7600	-9767.02	-9760.11	-6.91464	14.44858	10.41166	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.746169
7700	-9766.94	-9760.11	-6.83408	14.44858	10.70591	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.627247
7800	-9766.84	-9760.11	-6.73658	14.44858	11.05022	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.399146
7900	-9766.88	-9760.11	-6.77334	14.44858	10.97478	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.943486
8000	-9766.86	-9760.11	-6.74922	14.44858	11.01436	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.599793
8100	-9766.9	-9760.11	-6.78894	14.44858	10.87886	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.377684
8200	-9767.05	-9760.11	-6.94765	14.44858	10.29932	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.742149
8300	-9767.03	-9760.11	-6.92716	14.44858	10.34148	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.971002
8400	-9767.06	-9760.11	-6.94865	14.44858	10.26549	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.922546
8500	-9766.92	-9760.11	-6.81162	14.44858	10.78915	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.779904
8600	-9766.96	-9760.11	-6.85062	14.44858	10.64178	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.897531
8700	-9767.09	-9760.11	-6.98806	14.44858	10.11011	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.993593
8800	-9767.12	-9760.11	-7.01102	14.44858	10.11922	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.653949
8900	-9767.09	-9760.11	-6.97875	14.44858	10.22551	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.635082
9000	-9767.14	-9760.11	-7.03256	14.44858	10.20844	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.300592
9100	-9767.16	-9760.11	-7.05439	14.44858	10.16875	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.270833
9200	-9767.12	-9760.11	-7.01429	14.44858	10.40583	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.020966
9300	-9766.85	-9760.11	-6.74646	14.44858	11.03518	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.682304
9400	-9766.82	-9760.11	-6.71598	14.44858	11.19458	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.814995
9500	-9766.74	-9760.11	-6.63721	14.44858	11.44802	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.547218
9600	-9766.8	-9760.11	-6.68922	14.44858	11.21331	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.378713
9700	-9766.81	-9760.11	-6.70685	14.44858	11.15231	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.206569
9800	-9766.66	-9760.11	-6.55194	14.44858	11.63638	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.016284
9900	-9766.89	-9760.11	-6.78321	14.44858	10.9411	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.117813
10000	-9766.97	-9760.11	-6.86424	14.44858	10.63396	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.430361
