Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	p	sd
5900	-103.103	-96.3714	-6.73149	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.543777	1.084544
6000	-102.777	-96.3714	-6.40565	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.73817	1.084544
6100	-102.666	-96.3714	-6.29497	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.808961	1.084544
6200	-102.144	-96.3714	-5.77232	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.190065	1.084544
6300	-102.442	-96.3714	-6.07021	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.962034	1.084544
6400	-102.455	-96.3714	-6.08387	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	7.952323	1.084544
6500	-102.013	-96.3714	-5.64177	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.302452	1.084544
6600	-101.475	-96.3714	-5.10411	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.94055	1.084544
6700	-101.344	-96.3714	-4.97287	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.234568	1.084544
6800	-101.366	-96.3714	-4.99461	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.172078	1.084544
6900	-101.383	-96.3714	-5.01165	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.128717	1.084544
7000	-101.408	-96.3714	-5.03711	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.070353	1.084544
7100	-101.394	-96.3714	-5.02222	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.103665	1.084544
7200	-101.607	-96.3714	-5.23567	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.740169	1.084544
7300	-101.705	-96.3714	-5.33378	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.616635	1.084544
7400	-101.499	-96.3714	-5.1281	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.8998	1.084544
7500	-101.348	-96.3714	-4.97656	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.223259	1.084544
7600	-101.409	-96.3714	-5.03745	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.06961	1.084544
7700	-101.387	-96.3714	-5.0161	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.118021	1.084544
