Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
12700	-47.2801	-45.6706	-1.60944	4.971689	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9783384
12800	-48.3003	-46.6909	-1.60944	4.83815	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9829985
12900	-47.9598	-46.3504	-1.60944	4.974702	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9676066
13000	-49.5112	-47.9018	-1.60944	4.840169	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9650089
13100	-48.2332	-46.6237	-1.60944	4.990629	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9613522
13200	-48.597	-46.9875	-1.60944	4.983914	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9569953
13300	-46.0663	-44.4568	-1.60944	4.986678	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9955001
13400	-46.64	-45.0306	-1.60944	4.939166	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9931831
13500	-47.4167	-45.8073	-1.60944	4.888028	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9886924
13600	-45.9948	-44.3854	-1.60944	4.981655	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.997406
13700	-45.9821	-44.3727	-1.60944	4.994042	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9958219
13800	-46.7998	-45.1904	-1.60944	4.958618	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9877466
13900	-46.7772	-45.1677	-1.60944	4.910342	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9953589
14000	-46.452	-44.8425	-1.60944	4.925004	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9983668
14100	-48.377	-46.7675	-1.60944	4.839964	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.98156
14200	-46.9623	-45.3528	-1.60944	4.998472	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9794754
14300	-48.1455	-46.5361	-1.60944	4.978719	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9642926
14400	-48.1013	-46.4919	-1.60944	4.895229	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9771176
14500	-47.116	-45.5065	-1.60944	4.861079	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.997668
14600	-48.1867	-46.5772	-1.60944	4.943035	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.968759
14700	-47.2493	-45.6399	-1.60944	4.867078	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9946004
14800	-50.8783	-49.2688	-1.60944	4.804836	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9516883
14900	-46.9156	-45.3062	-1.60944	4.94717	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9875991
15000	-47.8034	-46.194	-1.60944	4.816572	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.994069
15100	-46.3466	-44.7371	-1.60944	4.994105	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9898683
15200	-46.0474	-44.438	-1.60944	4.96984	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9982693
15300	-46.8248	-45.2153	-1.60944	4.955264	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9878436
15400	-47.2242	-45.6147	-1.60944	4.909444	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9884102
15500	-51.4631	-49.8537	-1.60944	4.746973	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9531049
15600	-48.4663	-46.8569	-1.60944	4.733628	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9978265
15700	-51.2564	-49.647	-1.60944	4.794556	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9482717
15800	-47.6359	-46.0265	-1.60944	4.924754	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9797298
15900	-47.1454	-45.5359	-1.60944	4.850035	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9989725
16000	-50.8531	-49.2436	-1.60944	4.637757	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9798446
16100	-49.0857	-47.4762	-1.60944	4.768192	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9827018
16200	-48.7013	-47.0919	-1.60944	4.859084	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9737533
16300	-49.3477	-47.7382	-1.60944	4.826109	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9695347
16400	-46.1163	-44.5069	-1.60944	4.96124	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9984052
16500	-49.1827	-47.5732	-1.60944	4.856879	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9671097
16600	-49.3841	-47.7746	-1.60944	4.891302	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9590421
16700	-46.2862	-44.6767	-1.60944	4.953521	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9967686
16800	-48.0582	-46.4487	-1.60944	4.992392	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9636829
16900	-48.2497	-46.6403	-1.60944	4.957558	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9657424
17000	-46.7296	-45.1202	-1.60944	4.94025	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9915848
17100	-47.503	-45.8936	-1.60944	4.8835	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9880529
17200	-47.4762	-45.8668	-1.60944	4.898476	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9861591
17300	-47.1249	-45.5154	-1.60944	4.884785	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9937805
17400	-46.9919	-45.3825	-1.60944	4.998338	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9790313
17500	-46.9837	-45.3743	-1.60944	4.916922	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9910597
17600	-52.2075	-50.5981	-1.60944	4.46428	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.993302
17700	-47.5465	-45.9371	-1.60944	4.939853	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9788628
