Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
9200	-28.6821	-24.77	-3.91202	4.513614	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.227516
9300	-28.7361	-24.8241	-3.91202	4.59899	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.41233
9400	-29.3009	-25.3889	-3.91202	4.483723	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.829573
9500	-29.2936	-25.3816	-3.91202	4.59083	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.902255
9600	-29.6338	-25.7218	-3.91202	4.291815	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.957702
9700	-29.6463	-25.7343	-3.91202	4.661962	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	4.214483
9800	-29.4469	-25.5349	-3.91202	4.441268	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.920371
9900	-29.7271	-25.8151	-3.91202	4.168038	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.923932
10000	-29.3979	-25.4859	-3.91202	4.120655	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.483392
10100	-29.2123	-25.3003	-3.91202	4.247876	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.47058
10200	-29.2347	-25.3226	-3.91202	4.179135	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.360928
10300	-29.5094	-25.5974	-3.91202	3.984368	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.990384
10400	-29.3887	-25.4766	-3.91202	4.047487	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.954531
10500	-28.414	-24.5019	-3.91202	4.597268	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.935504
10600	-28.2953	-24.3833	-3.91202	4.739214	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.073403
10700	-28.2405	-24.3285	-3.91202	4.864646	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.313478
10800	-28.0393	-24.1273	-3.91202	4.93905	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.367731
10900	-27.851	-23.939	-3.91202	5.174291	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.238811
11000	-27.3667	-23.4547	-3.91202	5.737927	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.774759
11100	-27.3047	-23.3926	-3.91202	5.903873	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.684642
11200	-27.6388	-23.7267	-3.91202	6.180681	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.135515
11300	-27.4134	-23.5014	-3.91202	6.257642	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.386611
11400	-27.3326	-23.4206	-3.91202	5.58138	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.62114
11500	-27.368	-23.456	-3.91202	5.505872	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.427415
11600	-27.8471	-23.9351	-3.91202	5.311598	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.139791
11700	-27.7802	-23.8682	-3.91202	5.136083	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.33601
