Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
52000	-50.6836	-23.3974	-27.2862	13.37963	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.040491	12.27406
53000	-50.4661	-23.2853	-27.1807	13.25929	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.109601	12.27406
54000	-50.6695	-23.3729	-27.2966	13.19891	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.228235	12.27406
55000	-51.161	-23.6124	-27.5486	13.37045	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.213461	12.27406
56000	-51.0768	-23.5707	-27.506	13.33563	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.223182	12.27406
57000	-50.4114	-23.2573	-27.1541	13.22662	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.125738	12.27406
58000	-50.7674	-23.4227	-27.3446	13.25978	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.202203	12.27406
59000	-50.4842	-23.2836	-27.2006	13.14342	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.221344	12.27406
60000	-51.1292	-23.579	-27.5502	13.11217	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.423105	12.27406
61000	-51.1167	-23.5735	-27.5432	13.11659	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.416712	12.27406
62000	-51.2133	-23.6269	-27.5864	13.25614	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.33848	12.27406
63000	-50.837	-23.4663	-27.3707	13.3781	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.096285	12.27406
64000	-51.3705	-23.7144	-27.6562	13.43782	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.206758	12.27406
65000	-51.0054	-23.5331	-27.4723	13.27719	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.25804	12.27406
66000	-51.2623	-23.664	-27.5983	13.4255	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.184454	12.27406
67000	-50.7872	-23.438	-27.3492	13.32616	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.140454	12.27406
68000	-50.7343	-23.4183	-27.3159	13.36483	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.077384	12.27406
69000	-50.4589	-23.296	-27.1628	13.37383	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.966567	12.27406
