Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
49000	-59.5224	-26.3838	-33.1387	16.28969	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.402762	15.91026
50000	-59.4531	-26.3556	-33.0975	16.27304	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.360093	15.91026
51000	-59.401	-26.3286	-33.0724	16.25713	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.36797	15.91026
52000	-59.9305	-26.5739	-33.3566	16.40068	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.48602	15.91026
53000	-60.3971	-26.809	-33.5881	16.53376	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.450782	15.91026
54000	-61.0148	-27.1255	-33.8893	16.68331	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.36483	15.91026
55000	-60.7824	-27.025	-33.7574	16.61116	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.272111	15.91026
56000	-60.8159	-27.0252	-33.7907	16.63737	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.381408	15.91026
57000	-61.0698	-27.1405	-33.9293	16.70749	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.448817	15.91026
58000	-60.6588	-26.9485	-33.7103	16.59788	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.376851	15.91026
59000	-60.5001	-26.8855	-33.6146	16.54466	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.274648	15.91026
60000	-60.4359	-26.8277	-33.6081	16.54418	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.453647	15.91026
61000	-60.8733	-27.0176	-33.8557	16.65468	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.644142	15.91026
62000	-61.1066	-27.1462	-33.9604	16.72227	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.538932	15.91026
63000	-60.9682	-27.0823	-33.8859	16.68548	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.508274	15.91026
64000	-60.9868	-27.0959	-33.8909	16.68876	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.475678	15.91026
65000	-60.3261	-26.7717	-33.5545	16.51419	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.467858	15.91026
66000	-60.2623	-26.7145	-33.5477	16.47026	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.659844	15.91026
67000	-60.2462	-26.7102	-33.536	16.47155	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.631754	15.91026
68000	-60.2895	-26.7277	-33.5618	16.47832	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.661703	15.91026
69000	-60.3041	-26.7456	-33.5585	16.49816	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.579899	15.91026
70000	-59.8258	-26.5032	-33.3226	16.33949	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.626821	15.91026
71000	-59.5536	-26.3567	-33.1969	16.21036	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.716722	15.91026
72000	-59.5108	-26.3292	-33.1816	16.16866	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.765706	15.91026
